article,pr_2020_03,pr_2020_07,pr_2021_03,pr_2022_01,shift_P1_to_P2,shift_P2_to_P3,shift_P3_to_P4,shift_overall
Nature (journal),0.0015406571504871969,0.000850799369493692,0.0007454692362439718,0.0006349799658382328,-0.0006898577809935049,-0.00010533013324972023,-0.000110489270405739,-0.0009056771846489641
Intensive care unit,0.0010364861276498344,0.0008933078655753563,0.0007903843553690789,0.0006342029824274438,-0.0001431782620744781,-0.00010292351020627739,-0.00015618137294163507,-0.00040228314522239056
Science (journal),0.0013415443539729656,0.0008525087356209551,0.000691792947486946,0.0006327339289566353,-0.0004890356183520105,-0.0001607157881340091,-5.905901853031073e-05,-0.0007088104250163303
2002–2004 SARS outbreak,0.0,0.000787798290953376,0.000675482412867077,0.0006307615616244622,0.000787798290953376,-0.00011231587808629897,-4.4720851242614854e-05,0.0006307615616244622
The Atlantic,0.0010218424375343696,0.0006819294589503506,0.0007602255773288193,0.0006291598366350402,-0.0003399129785840191,7.829611837846875e-05,-0.00013106574069377908,-0.0003926826008993294
Anxiety,0.0008392615049964729,0.0005369512146886263,0.000711836162304261,0.000627304192586027,-0.00030231029030784663,0.00017488494761563477,-8.453196971823409e-05,-0.00021195731241044596
Immunology,0.001003381679520407,0.0009360498184682213,0.0007160382951187835,0.000626991090932808,-6.733186105218573e-05,-0.00022001152334943778,-8.90472041859755e-05,-0.000376390588587599
SARS-CoV-2 Alpha variant,0.0,0.0,0.0,0.0006191685711098952,0.0,0.0,0.0006191685711098952,0.0006191685711098952
Herd immunity,0.0,0.0007062915779300725,0.0006976476377516854,0.0006177218579417454,0.0007062915779300725,-8.643940178387093e-06,-7.992577980993993e-05,0.0006177218579417454
University of Oxford,0.0015212129038524053,0.0008134587835629905,0.0007373847490780383,0.0006121310318227933,-0.0007077541202894148,-7.60740344849522e-05,-0.00012525371725524497,-0.000909081872029612
Monoclonal antibody,0.0008306813807379667,0.0005218694281130145,0.0006787405417403933,0.0006098090772475494,-0.0003088119526249521,0.00015687111362737872,-6.893146449284387e-05,-0.00022087230349041725
Surgical mask,0.0009253304597533663,0.0008437090722550804,0.0007649018816334201,0.0006080636608715801,-8.162138749828588e-05,-7.880719062166024e-05,-0.0001568382207618401,-0.0003172667988817862
COVID-19 pandemic in Spain,0.000779037225616988,0.000902481810041451,0.000747137805439619,0.0006066435846844816,0.00012344458442446304,-0.000155344004601832,-0.00014049422075513738,-0.00017239364093250636
NBC News,0.000999859583341766,0.0007783579687058012,0.0006643078884673286,0.0006035666751601111,-0.00022150161463596488,-0.00011405008023847253,-6.074121330721749e-05,-0.0003962929081816549
Canada,0.001343442714759955,0.0008488195621082819,0.0007375627618083482,0.0006009987803859211,-0.0004946231526516731,-0.00011125680029993375,-0.00013656398142242708,-0.000742443934374034
Middle East respiratory syndrome,0.0011039425769179584,0.000844993990359966,0.0006778042240970498,0.0005963749113771669,-0.00025894858655799245,-0.00016718976626291617,-8.142931271988292e-05,-0.0005075676655407915
European Centre for Disease Prevention and Control,0.0008437088842052342,0.0009188047950648787,0.0007053555879629998,0.0005871992212982495,7.50959108596445e-05,-0.00021344920710187894,-0.00011815636666475022,-0.00025650966290698466
Sinopharm BIBP COVID-19 vaccine,0.0,0.0,0.0,0.0005864768765302039,0.0,0.0,0.0005864768765302039,0.0005864768765302039
Variants of SARS-CoV-2,0.0,0.0,0.0005306257945380359,0.0005840463300017857,0.0,0.0005306257945380359,5.3420535463749824e-05,0.0005840463300017857
Azithromycin,0.0007824759587285702,0.0006198733427550672,0.0005030078735886023,0.0005837431994220257,-0.00016260261597350297,-0.00011686546916646497,8.073532583342347e-05,-0.00019873275930654447
The Economist,0.0012802617854029098,0.0007432854477948925,0.0006242924463121582,0.000583702989972314,-0.0005369763376080173,-0.00011899300148273436,-4.0589456339844114e-05,-0.0006965587954305957
Emergency use authorization,0.0,0.0005461510096599104,0.0005603120985257781,0.000578055866050176,0.0005461510096599104,1.4161088865867737e-05,1.7743767524397848e-05,0.000578055866050176
COVID-19 pandemic in South Korea,0.000779037225616988,0.0008107703374106291,0.0007306521640953163,0.0005769508102457903,3.173311179364112e-05,-8.011817331531285e-05,-0.00015370135384952597,-0.0002020864153711977
National Health Commission,0.0009193376658743906,0.0006790379776399297,0.0006115856959796391,0.0005740397406504194,-0.00024029968823446087,-6.745228166029054e-05,-3.754595532921975e-05,-0.00034529792522397117
COVID-19 pandemic in Asia,0.000779037225616988,0.000641051445875453,0.0006890600286768889,0.0005685649463173298,-0.00013798577974153499,4.80085828014359e-05,-0.00012049508235955915,-0.00021047227929965823
COVID-19 pandemic in South Africa,0.0,0.0005708826163334045,0.0004924158285997634,0.0005646874579051458,0.0005708826163334045,-7.846678773364114e-05,7.227162930538238e-05,0.0005646874579051458
Remdesivir,0.0010930808561635857,0.0006980527494176636,0.0006354339936929034,0.000562043903304215,-0.0003950281067459222,-6.261875572476018e-05,-7.33900903886884e-05,-0.0005310369528593708
Antiviral,0.0007824759587285702,0.0007200547435586002,0.0006246494394399713,0.0005618169923163541,-6.242121516996995e-05,-9.540530411862895e-05,-6.283244712361718e-05,-0.00022065896641221608
Misinformation,0.000813903913678795,0.0005355524235940178,0.0004714629620259438,0.0005614459733757683,-0.00027835149008477715,-6.408946156807405e-05,8.998301134982448e-05,-0.0002524579403030267
Confidence interval,0.0008503303396543125,0.0005294804207663106,0.0006714031697137668,0.0005567317622701232,-0.00032084991888800193,0.0001419227489474562,-0.0001146714074436436,-0.00029359857738418935
Chinese Center for Disease Control and Prevention,0.0010665518342957174,0.0007138086634799148,0.000657922930365057,0.0005556806086630657,-0.00035274317081580256,-5.588573311485776e-05,-0.00010224232170199133,-0.0005108712256326516
Politico,0.0009704166023117956,0.0007022710431913794,0.0005829686710941871,0.0005543126891004904,-0.0002681455591204162,-0.00011930237209719231,-2.8655981993696688e-05,-0.0004161039132113052
COVID-19 pandemic in France,0.000779037225616988,0.0007629240575267156,0.0006286626427603996,0.00055388695682584,-1.6113168090272387e-05,-0.000134261414766316,-7.47756859345596e-05,-0.000225150268791148
Vaccine,0.0015867153727406663,0.0007805895686217833,0.0006315771207400859,0.0005522104267515628,-0.000806125804118883,-0.00014901244788169735,-7.93666939885231e-05,-0.0010345049459891033
COVID-19 pandemic in Thailand,0.000779037225616988,0.000511812102950577,0.00047738907489880444,0.0005521524848401217,-0.00026722512266641094,-3.442302805177261e-05,7.476340994131726e-05,-0.00022688474077686629
Korea Disease Control and Prevention Agency,0.000779037225616988,0.00047136628680630285,0.0006443437989400951,0.0005513678954741872,-0.00030767093881068513,0.00017297751213379224,-9.29759034659079e-05,-0.0002276693301428008
Tuberculosis,0.0010922476973752391,0.000652078455668621,0.0006363302597780786,0.0005475830595601702,-0.00044016924170661807,-1.57481958905425e-05,-8.874720021790836e-05,-0.0005446646378150689
Tedros Adhanom,0.0009106209938589387,0.0007857861681464148,0.0006794436148741188,0.000546166106410986,-0.00012483482571252395,-0.00010634255327229597,-0.00013327750846313282,-0.00036445488744795275
COVID-19 pandemic in Australia,0.000779037225616988,0.0005595187574828466,0.000509155987594997,0.0005446199709304526,-0.0002195184681341414,-5.036276988784963e-05,3.5463983335455606e-05,-0.00023441725468653543
Impact of the COVID-19 pandemic on education,0.0,0.0007127432222627687,0.0005950550669106387,0.0005436298362272216,0.0007127432222627687,-0.00011768815535212994,-5.1425230683417155e-05,0.0005436298362272216
COVID-19 pandemic in Argentina,0.0,0.0005168372359665779,0.0006090026078609224,0.000540772469089535,0.0005168372359665779,9.216537189434449e-05,-6.823013877138736e-05,0.000540772469089535
COVID-19 recession,0.0,0.0,0.0006796905301300887,0.0005392903188542424,0.0,0.0006796905301300887,-0.00014040021127584637,0.0005392903188542424
Public Health Emergency of International Concern,0.0010596770564098345,0.0007593796587992268,0.0006319012824092071,0.00053677973256206,-0.0003002973976106077,-0.00012747837639001973,-9.512154984714707e-05,-0.0005228973238477745
HIV/AIDS,0.0010146477883873572,0.00071425026925618,0.0005955465196408218,0.0005346114974846678,-0.00030039751913117716,-0.00011870374961535824,-6.0935022156154e-05,-0.0004800362909026894
Vox (website),0.0009496726838588619,0.0007342396505461705,0.0006521818693267219,0.0005342703799173211,-0.00021543303331269148,-8.205778121944858e-05,-0.00011791148940940076,-0.0004154023039415408
COVID-19 pandemic in Africa,0.0,0.0007010836467984523,0.0006161999611969706,0.0005333411079018336,0.0007010836467984523,-8.488368560148163e-05,-8.285885329513702e-05,0.0005333411079018336
Zhejiang,0.0014689288673129376,0.0007358163324824213,0.0006186265641815292,0.0005294431896766094,-0.0007331125348305163,-0.00011718976830089206,-8.918337450491986e-05,-0.0009394856776363282
Polymerase chain reaction,0.0010950520573072752,0.0006606704264138713,0.0006168779160613665,0.0005287316758962543,-0.000434381630893404,-4.3792510352504794e-05,-8.814624016511218e-05,-0.000566320381411021
Diabetes mellitus,0.001146236520185181,0.0007069371404546436,0.0006087085389262707,0.0005267365170625613,-0.00043929937973053747,-9.822860152837291e-05,-8.197202186370945e-05,-0.0006195000031226198
Index case,0.0009188913855093476,0.0006947446448934083,0.0006024676456619299,0.0005249155265780413,-0.00022414674061593928,-9.227699923147834e-05,-7.755211908388863e-05,-0.00039397585893130626
COVID-19 pandemic in New Zealand,0.0,0.0008080776894408895,0.0007798643030628752,0.0005221616852500454,0.0008080776894408895,-2.821338637801435e-05,-0.0002577026178128297,0.0005221616852500454
Moderna COVID-19 vaccine,0.0,0.0,0.0005628563443713536,0.0005186258364395996,0.0,0.0005628563443713536,-4.423050793175398e-05,0.0005186258364395996
Sputnik V COVID-19 vaccine,0.0,0.0,0.0004971933270638227,0.0005167599931178901,0.0,0.0004971933270638227,1.9566666054067418e-05,0.0005167599931178901
COVID-19 pandemic death rates by country,0.0,0.0,0.0005331695079774207,0.0005141430017805865,0.0,0.0005331695079774207,-1.9026506196834127e-05,0.0005141430017805865
HIV,0.001137128163197981,0.0006585168622956029,0.0006574112167008818,0.0005138664706320187,-0.0004786113009023781,-1.1056455947210716e-06,-0.00014354474606886316,-0.0006232616925659623
Chloroquine,0.0009080336634794083,0.0006818871719397589,0.0005992763075221866,0.0005092709650438676,-0.00022614649153964936,-8.261086441757235e-05,-9.000534247831902e-05,-0.00039876269843554073
Receptor antagonist,0.0011102707622041553,0.0006857655829581195,0.0005903699016040202,0.0005091620541999761,-0.0004245051792460358,-9.53956813540993e-05,-8.12078474040441e-05,-0.0006011087080041792
Brazil,0.0010014927990479087,0.0006652102785227154,0.0005944660224598655,0.0005063909756466707,-0.0003362825205251933,-7.074425606284982e-05,-8.807504681319488e-05,-0.000495101823401238
The New England Journal of Medicine,0.0007934386837294735,0.0006127873168969964,0.0005484430118296601,0.000506309139333238,-0.00018065136683247704,-6.434430506733633e-05,-4.213387249642209e-05,-0.00028712954439623546
Lopinavir/ritonavir,0.0009080336634794083,0.000568185317067064,0.0005968573351107356,0.0005061324528066373,-0.00033984834641234425,2.8672018043671577e-05,-9.07248823040983e-05,-0.000401901210672771
COVID-19 pandemic in North America,0.000779037225616988,0.0006335268897135157,0.0006113086622095612,0.0005045087864222227,-0.0001455103359034723,-2.2218227503954433e-05,-0.00010679987578733857,-0.0002745284391947653
Diagnosis of exclusion,0.000999859583341766,0.0006717678789722361,0.0005818782046502588,0.0005036560624679153,-0.0003280917043695299,-8.988967432197728e-05,-7.822214218234356e-05,-0.0004962035208738507
Caixin,0.0010936287503774712,0.0006184610236321298,0.0006005192347177282,0.000501681212311508,-0.0004751677267453414,-1.794178891440163e-05,-9.883802240622018e-05,-0.0005919475380659632
SARS-CoV-2 Beta variant,0.0,0.0,0.0,0.0005011227678452756,0.0,0.0,0.0005011227678452756,0.0005011227678452756
Spanish flu,0.0008392615049964729,0.0006029161713789106,0.0005753642690849859,0.0004999252621032852,-0.0002363453336175623,-2.7551902293924697e-05,-7.543900698170076e-05,-0.00033933624289318775
Asymptomatic,0.000829996231245783,0.0006006325058255742,0.0005932430520052497,0.0004989545994162867,-0.00022936372542020883,-7.389453820324425e-06,-9.428845258896304e-05,-0.0003310416318294963
AdNow,0.0,0.0,0.0,0.0004985650510741719,0.0,0.0,0.0004985650510741719,0.0004985650510741719
Medicines and Healthcare products Regulatory Agency,0.0,0.0005001666955573415,0.0004578145307482269,0.0004975418284137447,0.0005001666955573415,-4.235216480911455e-05,3.972729766551781e-05,0.0004975418284137447
COVID-19 pandemic in Iran,0.000779037225616988,0.0009185351449306696,0.0005960453045181641,0.0004966539704368126,0.00013949791931368164,-0.00032248984041250556,-9.939133408135145e-05,-0.00028238325518017537
Denmark,0.0008452839329344214,0.0006147800903994523,0.0006219988542202452,0.0004916182370648941,-0.00023050384253496905,7.218763820792881e-06,-0.00013038061715535116,-0.00035366569586952733
