article,in_degree,out_degree,degree_centrality,pagerank,betweenness
Bulgarian Patriots,1,4,0.0012933264355923435,0.000324853454182864,0.0
BioRxiv (identifier),13,0,0.003362648732540093,0.0003240619766128044,0.0
Open Medicine Foundation,3,8,0.0028453181583031556,0.0003240472740438169,4.3122035360068996e-07
Infectious disease,17,0,0.004397309881013968,0.00032381601334196685,0.0
Public domain,24,0,0.006207966890843249,0.000322895089017798,0.0
COVID-19 pandemic in the United Kingdom,227,1350,0.40791515778582516,0.0003221675966517846,2.8288060878264846e-05
Nirmatrelvir,232,1360,0.4117951370926022,0.0003210350661850934,0.00038934533060894894
Ensitrelvir,232,1351,0.40946714950853597,0.0003210337309349183,0.00031420091625171035
COVID-19 misinformation by China,229,0,0.05923435075012933,0.000319895681175113,0.0
SARS-CoV-2 Omicron variant,232,0,0.06001034661148474,0.00031964425140409904,0.0
Influenza,39,0,0.010087946197620278,0.00031868587937934953,0.0
Ivermectin during the COVID-19 pandemic,229,1357,0.41024314536989137,0.0003183023995726282,0.00016132264856713715
Jérôme Salomon,227,0,0.05871702017589239,0.00031778957597956565,0.0
Baricitinib,231,47,0.0719089498189343,0.00031770591744877347,0.00047625149791341196
Greg Hunt,226,1328,0.40196585618210035,0.000317586121225698,2.8271544111343e-05
Anxiety,12,0,0.0031039834454216243,0.00031754324266559524,0.0
Investigations into the origin of COVID-19,231,0,0.05975168132436627,0.0003164050619688789,0.0
Antigen,17,0,0.004397309881013968,0.00031614464690733366,0.0
Vilobelimab,10,45,0.014226590791515777,0.0003158968850080536,5.901558553563729e-06
Miracle Mineral Supplement,5,38,0.011122607346094153,0.0003153888755373666,9.347935735387223e-05
The Wall Street Journal,31,0,0.008018623900672529,0.0003153494072675248,0.0
OCLC (identifier),25,0,0.006466632177961717,0.0003142785250127156,0.0
Variants of SARS-CoV-2,232,1502,0.4485256078634247,0.00031368674448542093,0.0016448144733446112
Pemivibart,10,27,0.009570615623383343,0.0003120809961843072,2.049054055914409e-06
Impact of the COVID-19 pandemic on journalism,230,0,0.0594930160372478,0.0003114422112793154,0.0
Sipavibart,10,24,0.008794619762027936,0.0003109068373736259,1.2320581531448283e-07
Centers for Disease Control and Prevention,52,0,0.013450594930160372,0.0003103797087645957,0.0
Pharmaceutical drug,10,0,0.002586652871184687,0.0003095037211007142,0.0
COVID-19 pandemic in Denmark,220,1341,0.40377651319192964,0.0003091447857111143,0.00015703190699917636
Azithromycin,11,0,0.0028453181583031556,0.00030858136531948527,0.0
Anosmia,9,188,0.050957061562338334,0.0003084753942058165,0.0028238458313516197
United Kingdom,42,0,0.010863942058975685,0.000308352401877994,0.0
Hepatitis C,18,0,0.0046559751681324365,0.0003076839916220934,0.0
Solve ME/CFS Initiative,3,5,0.0020693222969477496,0.00030646646702424006,0.0
Chloroquine and hydroxychloroquine during the COVID-19 pandemic,226,1359,0.4099844800827729,0.0003061849507202804,0.00014015234041184874
Pfizer–BioNTech COVID-19 vaccine,230,0,0.0594930160372478,0.00030460142636984887,0.0
Neutral Bulgaria,1,4,0.0012933264355923435,0.0003042647849700046,0.0
Oxford–AstraZeneca COVID-19 vaccine,233,0,0.0602690118986032,0.00030345013609644637,0.0
Hindi,2,0,0.0005173305742369374,0.0003021742882137546,0.0
Politico,17,0,0.004397309881013968,0.0003018335022562181,0.0
Impact of the COVID-19 pandemic on combat sports,229,0,0.05923435075012933,0.00030182743286904905,0.0
Biological nomenclature,1,0,0.0002586652871184687,0.00030142757820642415,0.0
Common name,1,0,0.0002586652871184687,0.00030142757820642415,0.0
